iter	Passed	Remaining
0	9	4883
1	19	4780
2	28	4725
3	35	4449
4	73	7241
5	81	6730
6	90	6359
7	98	6041
8	105	5755
9	112	5526
10	119	5295
11	125	5115
12	133	4985
13	140	4874
14	148	4788
15	154	4681
16	161	4596
17	168	4506
18	174	4421
19	181	4347
20	187	4274
21	193	4199
22	200	4156
23	207	4121
24	214	4079
25	221	4037
26	228	4007
27	235	3977
28	242	3937
29	249	3903
30	256	3873
31	263	3846
32	269	3816
33	276	3794
34	283	3762
35	290	3738
36	296	3711
37	303	3689
38	310	3665
39	316	3639
40	323	3616
41	339	3701
42	345	3670
43	351	3644
44	358	3626
45	364	3601
46	371	3577
47	377	3555
48	384	3536
49	390	3512
50	396	3492
51	403	3475
52	409	3457
53	416	3443
54	423	3427
55	431	3417
56	437	3401
57	444	3385
58	450	3370
59	457	3356
60	465	3350
61	472	3341
62	480	3330
63	489	3335
64	497	3330
65	506	3330
66	514	3328
67	524	3331
68	532	3324
69	540	3317
70	547	3310
71	556	3310
72	565	3307
73	574	3305
74	581	3294
75	589	3288
76	597	3281
77	605	3273
78	613	3268
79	622	3265
80	630	3261
81	638	3257
82	647	3251
83	654	3243
84	663	3237
85	670	3228
86	679	3225
87	687	3216
88	695	3213
89	703	3204
90	711	3196
91	718	3186
92	725	3176
93	732	3164
94	740	3156
95	748	3150
96	755	3140
97	763	3133
98	772	3127
99	779	3117
100	787	3110
101	795	3104
102	803	3097
103	811	3088
104	819	3081
105	827	3074
106	836	3070
107	843	3062
108	851	3054
109	858	3044
110	866	3036
111	873	3026
112	881	3018
113	889	3011
114	896	3002
115	904	2994
116	911	2982
117	918	2972
118	925	2962
119	932	2952
120	939	2944
121	947	2935
122	955	2928
123	962	2919
124	971	2914
125	979	2907
126	987	2899
127	995	2893
128	1004	2888
129	1012	2881
130	1021	2877
131	1029	2870
132	1037	2862
133	1045	2854
134	1053	2847
135	1061	2842
136	1069	2833
137	1078	2828
138	1086	2820
139	1094	2815
140	1103	2809
141	1111	2801
142	1119	2795
143	1127	2787
144	1135	2778
145	1142	2769
146	1150	2762
147	1158	2754
148	1165	2746
149	1173	2737
150	1180	2729
151	1188	2720
152	1196	2712
153	1203	2704
154	1210	2694
155	1217	2684
156	1224	2675
157	1232	2666
158	1239	2658
159	1247	2649
160	1253	2640
161	1261	2632
162	1269	2624
163	1277	2616
164	1283	2606
165	1292	2600
166	1300	2593
167	1308	2585
168	1316	2577
169	1322	2567
170	1331	2560
171	1338	2553
172	1345	2543
173	1353	2535
174	1360	2526
175	1367	2517
176	1374	2508
177	1382	2500
178	1389	2491
179	1397	2484
180	1404	2475
181	1411	2467
182	1419	2459
183	1427	2452
184	1435	2444
185	1443	2437
186	1451	2430
187	1461	2426
188	1470	2419
189	1478	2412
190	1487	2406
191	1495	2399
192	1505	2395
193	1514	2388
194	1522	2381
195	1531	2375
196	1540	2368
197	1548	2362
198	1556	2354
199	1565	2347
200	1573	2341
201	1582	2335
202	1592	2330
203	1601	2323
204	1609	2316
205	1618	2310
206	1628	2305
207	1636	2297
208	1644	2290
209	1653	2283
210	1661	2275
211	1670	2268
212	1677	2260
213	1685	2252
214	1693	2244
215	1701	2236
216	1709	2229
217	1716	2220
218	1723	2211
219	1731	2203
220	1738	2195
221	1746	2186
222	1753	2178
223	1760	2169
224	1768	2161
225	1775	2152
226	1783	2145
227	1792	2137
228	1799	2129
229	1806	2120
230	1814	2112
231	1822	2104
232	1829	2096
233	1837	2088
234	1844	2080
235	1851	2071
236	1859	2063
237	1865	2054
238	1873	2045
239	1880	2037
240	1888	2029
241	1896	2022
242	1903	2013
243	1910	2004
244	1918	1997
245	1925	1988
246	1933	1980
247	1941	1972
248	1948	1964
249	1956	1956
250	1963	1947
251	1970	1939
252	1977	1931
253	1985	1922
254	1992	1914
255	2000	1906
256	2007	1898
257	2015	1890
258	2022	1881
259	2029	1873
260	2036	1865
261	2044	1856
262	2051	1848
263	2059	1841
264	2067	1833
265	2075	1825
266	2082	1817
267	2091	1810
268	2098	1801
269	2105	1793
270	2113	1785
271	2120	1777
272	2127	1769
273	2135	1761
274	2142	1752
275	2149	1744
276	2157	1736
277	2164	1728
278	2172	1721
279	2180	1713
280	2187	1705
281	2196	1698
282	2204	1690
283	2212	1682
284	2219	1674
285	2226	1666
286	2234	1658
287	2241	1650
288	2248	1641
289	2255	1633
290	2261	1624
291	2269	1616
292	2276	1608
293	2284	1600
294	2291	1592
295	2298	1584
296	2305	1575
297	2313	1568
298	2321	1560
299	2328	1552
300	2334	1543
301	2342	1535
302	2350	1528
303	2359	1521
304	2367	1513
305	2375	1505
306	2383	1498
307	2390	1490
308	2398	1482
309	2406	1474
310	2413	1466
311	2421	1458
312	2427	1450
313	2434	1442
314	2442	1434
315	2449	1426
316	2457	1418
317	2465	1411
318	2472	1402
319	2479	1394
320	2487	1386
321	2494	1379
322	2501	1370
323	2508	1362
324	2516	1354
325	2524	1347
326	2532	1339
327	2539	1331
328	2547	1323
329	2554	1315
330	2561	1307
331	2568	1299
332	2575	1291
333	2582	1283
334	2590	1275
335	2597	1267
336	2605	1260
337	2613	1252
338	2619	1244
339	2627	1236
340	2634	1228
341	2641	1220
342	2648	1212
343	2656	1204
344	2663	1196
345	2671	1188
346	2678	1181
347	2686	1173
348	2693	1165
349	2700	1157
350	2707	1149
351	2714	1141
352	2721	1133
353	2729	1125
354	2737	1118
355	2746	1110
356	2753	1102
357	2761	1095
358	2768	1087
359	2777	1080
360	2785	1072
361	2793	1065
362	2802	1057
363	2810	1050
364	2818	1042
365	2826	1034
366	2833	1027
367	2841	1019
368	2848	1011
369	2856	1003
370	2864	996
371	2872	988
372	2880	980
373	2888	973
374	2896	965
375	2904	957
376	2912	950
377	2919	942
378	2927	934
379	2935	926
380	2942	918
381	2949	911
382	2957	903
383	2965	895
384	2971	887
385	2979	879
386	2986	871
387	2993	864
388	3001	856
389	3008	848
390	3016	840
391	3023	832
392	3030	825
393	3038	817
394	3045	809
395	3052	801
396	3061	794
397	3068	786
398	3076	778
